date;br_exchange;br_et;br_et_dif_h1;br_et_dif_h12;br_et_ecm_h1;br_et_ecm_h12;br_gap;br_gdp;br_gdp_log;br_inflation;br_inflation_log;br_interest;br_m1;br_m1_log;us_exchange;us_et;us_et_dif_h1;us_et_dif_h12;us_et_ecm_h1;us_et_ecm_h12;us_gap;us_gdp;us_gdp_log;us_inflation;us_inflation_log;us_interest;us_m1;us_m1_log;br_m_hat;br_y_hat;br_r_hat;br_i_hat;br_ygap_hat;br_m_hat_dif_h1;br_y_hat_dif_h1;br_r_hat_dif_h1;br_i_hat_dif_h1;br_ygap_hat_dif_h1;br_m_hat_dif_h12;br_y_hat_dif_h12;br_r_hat_dif_h12;br_i_hat_dif_h12;br_ygap_hat_dif_h12;br_coint_taylor;br_coint_monetary_standard;br_coint_monetary_sticky;br_coint_monetary_sticky_uip;br_coint_monetary_flexible_uip
1999-12-01;1,7882;0,581209527319081;0,007465631644153592;0,088976041603517686;0,007465631644153592;0,088976041603517686;0,970189504619091;91758935535,5545;25,2424307091723;1588,56;7,37058322447878;19,00;62744441000;24,8623358213926;1;0;0;0;0;0;1,063190396958558;821884071688,954;27,4348651900481;77,1821852693466;4,34616866964161;5,30;1,14820e+12;27,7692166146799;-2,90688079328737;-2,192434480875789;3,02441455483717;13,70;-9,30008923394670e-02;1,64799053463756e-01;-7,56682228380434e-02;5,97921374740107e-03;0,11999999999999922;3,69648751737121e-02;0,189204812065071337;9,78263365682857e-02;0,059133531659470329;-21,0299999999999976;0,139969091137920332;0,22493631873583925;0,735048323309094198;-0,50623537146714037;-1,2467293919319611;-0,9271476063662514
2000-01-01;1,8016;0,588675158963234;-0,018995892403533721;0,089510656456550874;-0,018995892403533721;0,089510656456550874;0,881369620724268;86880972338,4565;25,1878048848104;1598,41;7,37676466413097;19,00;56633254000;24,7598621761312;1;0;0;0;0;0;1,059249514024649;796796410513,720;27,4038650383293;77,4114846908241;4,34913515060671;5,45;1,12690e+12;27,7504916159047;-2,99062943977352;-2,216060153518903;3,02762951352427;13,55;-1,77879893300381e-01;-8,37486464861499e-02;-2,36256726431137e-02;3,21495868710198e-03;-0,14999999999999858;-8,48790009609144e-02;0,104808804605493577;2,17777060767830e-02;0,057808645279371795;-20,0699999999999967;0,050084782099410585;-0,61644910518164164;0,655944890276449755;-0,91091494051784694;-1,3421829270677541;-0,8605050732872943
2000-02-01;1,7677;0,569679266559700;-0,012065481294950886;0,145425081352286933;-0,012065481294950886;0,145425081352286933;0,965209607878981;92720945136,7374;25,2528602293765;1600,49;7,37806511134291;19,00;54038049000;24,7129542464999;1;0;0;0;0;0;1,055589971258230;811113516084,434;27,4216738517779;77,8700835337792;4,35504184232210;5,73;1,09740e+12;27,7239648615713;-3,01101061507135;-2,168813622401352;3,02302326902082;13,27;-9,03803633792490e-02;-2,03811752978318e-02;4,72465311175512e-02;-4,60624450345115e-03;-0,28000000000000114;8,74995299211323e-02;0,111122366265291816;1,12215416724549e-01;0,043972545761787885;-22,9700000000000024;0,090241753071745090;0,30116203170958605;0,517844818600622370;-0,33588738942772733;-1,0273512178599913;-0,7792966159157507
2000-03-01;1,7465;0,557613785264750;0,033445297211410985;0,212864738231519190;0,033445297211410985;0,212864738231519190;0,874027739085027;97324982524,8483;25,3013215508883;1604,01;7,38026202282099;18,95;53255346000;24,6983640308630;1;0;0;0;0;0;1,079323750080144;840982073401,870;27,4578361808799;78,5121219139164;4,36325303215249;5,85;1,10890e+12;27,7343896489056;-3,03602561804261;-2,156514629991580;3,01700899066850;13,10;-2,05296010995118e-01;-2,50150029712621e-02;1,22989924097716e-02;-6,01427835231760e-03;-0,16999999999999993;-1,14915647615869e-01;0,147117082175427072;-2,59726705697716e-02;0,030054650923295512;-28,0899999999999963;-0,060100057882618962;-0,84925437757685529;0,447517429223813046;-0,12304362992773404;-0,8986090714990538;-0,7376851171937215
2000-04-01;1,8059;0,591059082476161;0,010959164672682875;0,190053186812428776;0,010959164672682875;0,190053186812428776;0,888150842924946;92055823853,5796;25,2456610109955;1610,75;7,38445518801875;18,50;53668551000;24,7060930244476;1;0;0;0;0;0;1,081964867754669;839333559237,008;27,4558740320291;78,5579817982119;4,36383697377492;6,02;1,12570e+12;27,7494261803072;-3,04333315585957;-2,210213021033656;3,02061821424383;12,48;-1,93814024829723e-01;-7,30753781695270e-03;-5,36983910420759e-02;3,60922357532800e-03;-0,61999999999999922;1,14819861653942e-02;0,186112499138221921;-2,99878730411187e-02;0,035326461551425936;-14,7799999999999976;-0,032584215180578857;-0,52637667782426412;0,562572052584931814;-0,71706024043816885;-1,1178884615898170;-0,7493862942257428
2000-05-01;1,8258;0,602018247148843;-0,014676125485874603;0,256304331370086014;-0,014676125485874603;0,256304331370086014;0,895585508293266;100520060708,6807;25,3336231535679;1610,91;7,38455451569463;18,50;52976100000;24,6931067053968;1;0;0;0;0;0;1,050160831798049;845635672259,797;27,4633544563503;78,6497015668029;4,36500383505084;6,27;1,10040e+12;27,7266948659968;-3,03358816060007;-2,129731302782435;3,01955068064378;12,23;-1,54575323504783e-01;9,74499525949568e-03;8,04817182512210e-02;-1,06753360004408e-03;-0,25000000000000000;3,92387013249403e-02;0,180823319238466951;2,73619912411149e-02;0,031260544036845417;-10,3700000000000010;0,012769797366430691;-0,03172528458568608;0,418285728213618091;0,33004222001095607;-0,5753641040787291;-0,6425298236994673
2000-06-01;1,7992;0,587342121662969;-0,014105237775581037;0,247348023006580431;-0,014105237775581037;0,247348023006580431;0,910519403682610;100212715437,8113;25,3305609181229;1614,62;7,38685491385311;18,17;54696730000;24,7250697639658;1;0;0;0;0;0;1,089151442715019;884296768503,275;27,5080585542223;79,0624405254625;4,37023792667444;6,53;1,10180e+12;27,7279663219850;-3,00289655801918;-2,177497636099350;3,01661698717866;11,64;-1,78632039032409e-01;3,06916025808874e-02;-4,77663333169147e-02;-2,93369346512051e-03;-0,58999999999999986;-2,40567155276263e-02;0,171204990907540378;3,91680307733182e-02;0,026431853916789372;-5,7700000000000031;-0,001788668828163420;-0,20048813182423741;0,557040781194938828;-0,20937499074126073;-0,8470828110582028;-0,7133457626775401
2000-07-01;1,7740;0,573236883887388;0,027027169192501588;0,314860113615985315;0,027027169192501588;0,314860113615985315;0,878545180796691;100853221036,3260;25,3369320397194;1640,62;7,40282949815630;16,95;57077894000;24,7676827332892;1;0;0;0;0;0;1,067476243636214;815722558155,208;27,4273401318359;79,2458800626446;4,37255542481480;6,54;1,10280e+12;27,7288735160961;-2,96119078280681;-2,090408092116515;3,03027407334149;10,41;-1,88931062839523e-01;4,17057752123782e-02;8,70895439828345e-02;1,36570861628291e-02;-1,23000000000000043;-1,02990238071133e-02;0,167885181599171318;6,29344118337869e-02;0,032254339780777741;-5,4500000000000011;0,030638232805292653;-0,22145306586973071;0,436951492975218736;0,49937227282479740;-0,4157687883870336;-0,5993886078231532
2000-08-01;1,8226;0,600264053079889;0,011076364775964964;0,336182184997830036;0,011076364775964964;0,336182184997830036;0,976014032460113;106337356315,4932;25,3898824840355;1662,11;7,41584315854413;16,50;56626345000;24,7597401732269;1;0;0;0;0;0;1,041389122938367;867426497997,770;27,4887966166449;79,2458800626446;4,37255542481480;6,50;1,09450e+12;27,7213187539093;-2,96157858068243;-2,098914132609437;3,04328773372933;10,00;-6,53750904782539e-02;-3,87797875625040e-04;-8,50604049292158e-03;1,30136603878377e-02;-0,41000000000000014;1,23555972361269e-01;0,174000972892265793;9,68607511110910e-02;0,042081456518451965;-4,4299999999999997;0,125411561259967552;1,12837956355621993;0,467070220527175062;0,20952782269910858;-0,4897245438742570;-0,5756435452290700
2000-09-01;1,8429;0,611340417855854;0,034819971479754130;0,370925302941833679;0,034819971479754130;0,370925302941833679;0,949975481224530;101705222648,2249;25,3453444921556;1665,93;7,41813880503733;16,50;59451342000;24,8084240334197;1;0;0;0;0;0;1,065674124254300;894777943847,008;27,5198414170040;79,6586190213042;4,37775024169191;6,52;1,08880e+12;27,7160972882837;-2,90767325486399;-2,174496924848427;3,04038856334543;9,98;-1,15698643029770e-01;5,39053258184410e-02;-7,55827922389898e-02;-2,89917038390453e-03;-0,01999999999999957;-5,03235525515160e-02;0,232855072022719156;1,30418205422878e-02;0,040861433962746219;-4,1700000000000017;0,063304971040951341;0,67265083436470952;0,711865134381909903;-0,53426030822048098;-0,9201451452192951;-0,7162227513378356
