date;jp_exchange;jp_et;jp_et_dif_h1;jp_et_dif_h12;jp_et_ecm_h1;jp_et_ecm_h12;jp_gap;jp_gdp;jp_gdp_log;jp_inflation;jp_inflation_log;jp_interest;jp_m1;jp_m1_log;us_exchange;us_et;us_et_dif_h1;us_et_dif_h12;us_et_ecm_h1;us_et_ecm_h12;us_gap;us_gdp;us_gdp_log;us_inflation;us_inflation_log;us_interest;us_m1;us_m1_log;jp_m_hat;jp_y_hat;jp_r_hat;jp_i_hat;jp_ygap_hat;jp_m_hat_dif_h1;jp_y_hat_dif_h1;jp_r_hat_dif_h1;jp_i_hat_dif_h1;jp_ygap_hat_dif_h1;jp_m_hat_dif_h12;jp_y_hat_dif_h12;jp_r_hat_dif_h12;jp_i_hat_dif_h12;jp_ygap_hat_dif_h12;jp_coint_taylor;jp_coint_monetary_standard;jp_coint_monetary_sticky;jp_coint_monetary_sticky_uip;jp_coint_monetary_flexible_uip
1999-12-01;102,20;4,62693167776960;4,44943039955525e-02;0,117130507085105862;4,44943039955525e-02;0,117130507085105862;0,972976501545432;46367604516469,1;31,4676221527963;97,5506735751295;4,58037197196716;0,02429;285169700282943;33,2841055585827;1;0;0;0;0;0;1,063190396958558;821884071688,954;27,4348651900481;77,1821852693466;4,34616866964161;5,30;1,14820e+12;27,7692166146799;5,51488894390271;4,03275696274818;0,234203302325552976;-5,27571000000000012;-9,02138954131256e-02;2,87618548660618e-02;9,71033787497788e-03;-3,01659353942529e-03;1,16790000000000e-01;0,000245169524130007;8,75172633051591e-02;-0,081894799046956734;-0,037508251653477487;-0,84665999999999997;-1,44387951805550e-02;1,31368720259807370;-0,59058103608088963;-1,25379955403165910;-0,151694710561736751;-0,7342681727002714
2000-01-01;106,85;4,67142598176516;3,06894102794137e-02;0,083456477451261613;3,06894102794137e-02;0,083456477451261613;0,984861352784276;43415257442641,6;31,4018320492322;97,4524352331606;4,57936441520686;0,02053;281946654696663;33,2727390012299;1;0;0;0;0;0;1,059249514024649;796796410513,720;27,4038650383293;77,4114846908241;4,34913515060671;5,45;1,12690e+12;27,7504916159047;5,52224738532514;3,99796701090291;0,230229264600156469;-5,42947000000000024;-7,43881612403737e-02;7,35844142243280e-03;-3,47899518452728e-02;-3,97403772539651e-03;-1,53760000000000e-01;0,015825734172751904;9,83539221918655e-02;-0,061169274049817091;-0,034052228482315705;-1,02472999999999992;8,83608250265955e-03;0,80668235074171546;-0,48409672924490482;-0,65640622576189789;0,364009746413900437;-0,6368569884432705
2000-02-01;110,18;4,70211539204457;-4,00923944636959e-02;0,054917143252767531;-4,00923944636959e-02;0,054917143252767531;1,000085671427280;43062004471531,8;31,3936621574439;97,1577202072539;4,57633563954470;0,03450;276199525299489;33,2521446382183;1;0;0;0;0;0;1,055589971258230;811113516084,434;27,4216738517779;77,8700835337792;4,35504184232210;5,73;1,09740e+12;27,7239648615713;5,52817977664701;3,97198830566604;0,221293797222605448;-5,69550000000000001;-5,55042998309498e-02;5,93239132186696e-03;-2,59787052368701e-02;-8,93546737755102e-03;-2,66030000000000e-01;0,018883861409423885;1,03633324626010e-01;-0,033783253219500153;-0,037759109207700980;-1,11181999999999981;3,60629280754261e-02;0,18418443073131141;-0,41087932448955666;-0,38672004143960170;0,558120324682046642;-0,5718465700848769
2000-03-01;105,85;4,66202299758087;6,59136096375157e-03;0,163085608772478352;6,59136096375157e-03;0,163085608772478352;1,005663041134002;44063438085826,5;31,4166514861655;97,3541968911917;4,57835584225198;0,02136;284343361104087;33,2812036417882;1;0;0;0;0;0;1,079323750080144;840982073401,870;27,4578361808799;78,5121219139164;4,36325303215249;5,85;1,10890e+12;27,7343896489056;5,54681399288263;3,95881530528562;0,215102810099486952;-5,82864000000000004;-7,36607089461425e-02;1,86342162356183e-02;-1,31730003804229e-02;-6,19098712311850e-03;-1,33140000000000e-01;-0,018156409115192673;8,80320027900758e-02;-0,050329779084261617;-0,041919713061671082;-1,05955000000000066;2,06643052730122e-02;0,76111681184225199;-0,51962025182943639;-0,44705028696837568;0,628283110266442346;-0,6663594264940188
2000-04-01;106,55;4,66861435854463;9,38086372733515e-04;0,147221857246562671;9,38086372733515e-04;0,147221857246562671;1,003188617389609;43874955803534,3;31,4123647903872;97,5506735751295;4,58037197196716;0,02000;294401334147206;33,3159650345230;1;0;0;0;0;0;1,081964867754669;839333559237,008;27,4558740320291;78,5579817982119;4,36383697377492;6,02;1,12570e+12;27,7494261803072;5,56653885421586;3,95649075835811;0,216534998192239314;-6,00000000000000000;-7,87762503650598e-02;1,97248613332270e-02;-2,32454692751105e-03;1,43218809275236e-03;-1,71360000000000e-01;-0,005115541418917235;1,01007301200298e-01;-0,065315299116523562;-0,038248638178774108;-1,29143000000000008;-1,67127716782933e-03;0,90339307734603036;-0,52875486065044797;-0,35141314598470730;0,755076225026259595;-0,6791245169662936
2000-05-01;106,65;4,66955244491736;-1,17898088100974e-02;0,111250309713890161;-1,17898088100974e-02;0,111250309713890161;1,003565082956031;43917382255826,2;31,4133313087995;97,6489119170984;4,58137851457856;0,02100;293501374305330;33,3129034376570;1;0;0;0;0;0;1,050160831798049;845635672259,797;27,4633544563503;78,6497015668029;4,36500383505084;6,27;1,10040e+12;27,7266948659968;5,58620857166022;3,94997685244913;0,216374679527720382;-6,24899999999999967;-4,65957488420186e-02;1,96697174443621e-02;-6,51390590897449e-03;-1,60318664518933e-04;-2,49000000000000e-01;0,032180501523041194;9,07547144520890e-02;-0,052378139312367011;-0,038408956843293041;-1,53899999999999970;4,10090431365751e-02;-0,22103827316001082;-0,54880166937324337;-0,24470227228066418;0,905663742252897364;-0,7012602162469994
2000-06-01;105,40;4,65776263610726;3,81619131492936e-02;0,162922074030547925;3,81619131492936e-02;0,162922074030547925;1,004879893928470;44395761940639,4;31,4241651290235;97,4524352331606;4,57936441520686;0,02091;288946204411791;33,2972616428102;1;0;0;0;0;0;1,089151442715019;884296768503,275;27,5080585542223;79,0624405254625;4,37023792667444;6,53;1,10180e+12;27,7279663219850;5,56929532082519;3,91610657480123;0,209126488532420218;-6,50909000000000049;-8,42715487865493e-02;-1,69132508350316e-02;-3,38702776479067e-02;-7,24819099530016e-03;-2,60090000000001e-01;-0,037675799944530741;8,06099353610250e-02;-0,062736190766326416;-0,042655644834836970;-1,77909000000000095;-9,23028454667962e-05;1,01785472596996374;-0,53930682801227336;0,09687319047132852;1,249075867000873918;-0,6851948258300856
2000-07-01;109,50;4,69592454925656;-2,87189723490116e-02;0,130787906678771826;-2,87189723490116e-02;0,130787906678771826;1,000480989432746;43352265737146,6;31,4003800839288;97,1577202072539;4,57633563954470;0,02100;290351452784007;33,3021132112953;1;0;0;0;0;0;1,067476243636214;815722558155,208;27,4273401318359;79,2458800626446;4,37255542481480;6,54;1,10280e+12;27,7288735160961;5,57323969519928;3,97303995209289;0,203780214729897047;-6,51900000000000013;-6,69952542034673e-02;3,94437437409678e-03;5,69333772916600e-02;-5,34627380252317e-03;-9,90999999999964e-03;0,017276294583081997;6,69913065540975e-02;-0,059059241588329314;-0,040981941647069142;-1,55900000000000016;2,35483787847213e-02;0,48702201324215139;-0,48261611263661636;-0,92390329930493442;0,063901992920410114;-0,6528376658169330
2000-08-01;106,40;4,66720557690754;1,35357959276217e-02;0,111497659841422347;1,35357959276217e-02;0,111497659841422347;1,009518858499872;42983690616074,0;31,3918418716759;97,4524352331606;4,57936441520686;0,15522;284623069963757;33,2821868593101;1;0;0;0;0;0;1,041389122938367;867426497997,770;27,4887966166449;79,2458800626446;4,37255542481480;6,50;1,09450e+12;27,7213187539093;5,56086810540080;3,90304525503102;0,206808990392057801;-6,34478000000000009;-3,18702644384949e-02;-1,23715897984837e-02;-6,99946970618690e-02;3,02877566216075e-03;1,74220000000000e-01;0,035124989764972359;5,95282699944875e-02;-0,030230229715385804;-0,038570083445573111;-1,30478000000000005;5,38742610005551e-02;-0,69924957826714018;-0,50155028493247256;0,27962010478531502;1,393191468390387211;-0,6455066462998754
2000-09-01;107,85;4,68074137283517;1,10651198124723e-02;0,100899956268704294;1,10651198124723e-02;0,100899956268704294;0,994949304132868;44748743646779,4;31,4320844853230;97,3541968911917;4,57835584225198;0,24950;280391309559538;33,2672072775971;1;0;0;0;0;0;1,065674124254300;894777943847,008;27,5198414170040;79,6586190213042;4,37775024169191;6,52;1,08880e+12;27,7160972882837;5,55110998931339;3,91224306831899;0,200605600560069597;-6,27049999999999930;-7,07248201214323e-02;-9,75811608740784e-03;9,19781328796887e-03;-6,20338983198820e-03;7,42800000000008e-02;-0,038854555682937386;4,81096113711743e-02;-0,059230067346387472;-0,043001853815712643;-1,08299999999999930;3,50906528215678e-04;0,65502098710149492;-0,46249283596465218;-0,01625489080999092;1,010131750042478904;-0,6119155356934601
